project_id,legacy_ocms_code,as_of_date,pre_paimana_observation_months,pre_paimana_schedule_revision_count,pre_paimana_cost_revision_count,pre_paimana_initial_cost,pre_paimana_latest_known_cost,pre_paimana_max_cost_escalation_pct,pre_paimana_initial_doc,pre_paimana_latest_doc,pre_paimana_max_schedule_slippage_months,max_source_date
60800,N24001633,2025-04,2,0,0,24001633.0,24001633.0,0.0,2023-12,2023-12,0.0,2024-03
609019,N28000146,2025-04,4,0,0,500.0,500.0,0.0,2020-06,2020-06,0.0,2024-03
609736,N44000002,2025-04,2,0,0,44000002.0,44000002.0,0.0,2025-01,2025-01,0.0,2024-03
610315,N28000126,2025-04,5,0,0,28000126.0,28000126.0,0.0,2022-03,2022-03,0.0,2024-03
610984,N16000445,2025-04,2,0,0,16000445.0,16000445.0,0.0,2024-01,2024-01,0.0,2024-03
611016,N06000195,2025-04,4,1,2,2.0,3.0,1700.0,2017-03,2015-12,0.0,2024-03
611017,N06000194,2025-04,4,0,2,2.5,44.0,1660.0000000000002,2018-04,2018-04,0.0,2024-03
611452,N22000434,2025-04,7,2,0,500.0,500.0,0.0,2012-03,2024-03,144.0,2024-03
611495,N04000115,2025-04,0,0,0,,,0.0,,,0.0,
611586,N18000344,2025-04,2,0,1,440.0,18000344.0,4090887.2727272725,2028-04,2028-04,0.0,2024-03
611735,N18000378,2025-04,1,0,0,396.0,396.0,0.0,2025-03,2025-03,0.0,2024-03
611752,N22000585,2025-04,2,0,0,29.225,29.225,0.0,2027-03,2027-03,0.0,2024-03
611849,N22000608,2025-04,2,0,0,82.5,82.5,0.0,2028-06,2028-06,0.0,2024-03
611861,N22000606,2025-04,2,0,0,27.73,27.73,0.0,2027-06,2027-06,0.0,2024-03
611864,N06000273,2025-04,0,0,0,,,0.0,,,0.0,
611884,N22000604,2025-04,2,0,1,561.0,22000604.0,3921576.2923351163,2028-02,2028-02,0.0,2024-03
611917,N16000458,2025-04,2,0,0,16000458.0,16000458.0,0.0,2025-03,2025-03,0.0,2024-03
611930,N18000381,2025-04,0,0,0,,,0.0,,,0.0,
611943,N22000550,2025-04,2,0,0,22000550.0,22000550.0,0.0,2028-01,2028-01,0.0,2024-03
611945,N22000538,2025-04,2,0,1,702.0,22.5,0.0,2030-05,2030-05,0.0,2024-03
611947,N18000379,2025-04,1,0,0,20.0,20.0,0.0,2025-06,2025-06,0.0,2024-03
611948,N18000374,2025-04,1,0,0,4.0,4.0,0.0,2025-04,2025-04,0.0,2024-03
611949,N18000375,2025-04,1,0,0,20.0,20.0,0.0,2025-04,2025-04,0.0,2024-03
611951,N18000373,2025-04,1,0,0,20.0,20.0,0.0,2025-02,2025-02,0.0,2024-03
611966,N18000377,2025-04,1,0,0,7.0,7.0,0.0,2025-07,2025-07,0.0,2024-03
611967,N18000380,2025-04,1,0,0,2500.0,2500.0,0.0,2025-03,2025-03,0.0,2024-03
611970,N22000540,2025-04,2,0,0,53.53,53.53,0.0,2030-03,2030-03,0.0,2024-03
611971,N22000541,2025-04,2,0,0,24.08,24.08,0.0,2030-03,2030-03,0.0,2024-03
612072,N22000532,2025-04,2,1,1,4.0,22000532.0,550013200.0,2027-03,2020-09,0.0,2024-03
612096,N22000206,2025-04,11,3,0,22000206.0,22000206.0,0.0,2010-04,2020-03,119.0,2024-03
612132,N18000389,2025-04,0,0,0,,,0.0,,,0.0,
612133,N18000387,2025-04,0,0,0,,,0.0,,,0.0,
612134,N18000386,2025-04,0,0,0,,,0.0,,,0.0,
612138,N18000388,2025-04,0,0,0,,,0.0,,,0.0,
612139,N18000384,2025-04,0,0,0,,,0.0,,,0.0,
612140,N18000385,2025-04,0,0,0,,,0.0,,,0.0,
612142,N18000382,2025-04,0,0,0,,,0.0,,,0.0,
612151,N18000383,2025-04,0,0,0,,,0.0,,,0.0,
612188,N21000033,2025-04,0,0,0,,,0.0,,,0.0,
612194,N04000112,2025-04,0,0,0,,,0.0,,,0.0,
612781,N12000132,2025-04,1,0,0,4.0,4.0,0.0,2026-12,2026-12,0.0,2024-03
612786,N04000106,2025-04,1,0,0,36.0,36.0,0.0,2026-01,2026-01,0.0,2024-03
612787,N04000108,2025-04,1,0,0,4000108.0,4000108.0,0.0,2026-02,2026-02,0.0,2024-03
612788,N04000105,2025-04,1,0,0,13.0,13.0,0.0,2026-02,2026-02,0.0,2024-03
612790,N16000509,2025-04,1,0,0,16000509.0,16000509.0,0.0,2026-02,2026-02,0.0,2024-03
612791,N04000109,2025-04,1,0,0,23.0,23.0,0.0,2025-10,2025-10,0.0,2024-03
612815,N22000573,2025-04,2,0,1,636.0,14.4,0.0,2026-12,2026-12,0.0,2024-03
612816,N06000272,2025-04,0,0,0,,,0.0,,,0.0,
612853,N16000531,2025-04,0,0,0,,,0.0,,,0.0,
612855,N18000390,2025-04,0,0,0,,,0.0,,,0.0,
612856,N18000395,2025-04,0,0,0,,,0.0,,,0.0,
612885,N42000001,2025-04,5,0,0,42000001.0,42000001.0,0.0,2014-09,2014-09,0.0,2024-03
612894,N42000011,2025-04,1,0,0,42000011.0,42000011.0,0.0,2022-08,2022-08,0.0,2024-03
613793,N06000191,2025-04,4,0,0,6000191.0,6000191.0,0.0,2025-03,2025-03,0.0,2024-03
613794,N06000277,2025-04,0,0,0,,,0.0,,,0.0,
613798,N06000123,2025-04,10,0,2,6000123.0,6000123.0,0.0,2018-03,2018-03,0.0,2024-03
613799,N06000135,2025-04,9,0,1,6000135.0,121.0,0.0,2020-03,2020-03,0.0,2024-03
613800,N06000232,2025-04,3,0,0,3.0,3.0,0.0,2020-03,2020-03,0.0,2024-03
613801,N06000164,2025-04,6,0,2,6000164.0,115.0,0.0,2026-03,2026-03,0.0,2024-03
613802,N06000125,2025-04,10,0,2,6000125.0,114.0,0.0,2021-03,2021-03,0.0,2024-03
613803,N06000166,2025-04,6,0,2,6000166.0,109.0,0.0,2026-03,2026-03,0.0,2024-03
613804,N06000250,2025-04,2,0,0,6000250.0,6000250.0,0.0,2027-03,2027-03,0.0,2024-03
613808,N06000096,2025-04,11,0,2,6000096.0,6000096.0,0.0,2014-04,2014-04,0.0,2024-03
615183,N06000208,2025-04,3,0,1,6000208.0,96.0,0.0,2025-03,2025-03,0.0,2024-03
615184,N06000251,2025-04,2,0,0,6000251.0,6000251.0,0.0,2028-03,2028-03,0.0,2024-03
615185,N06000257,2025-04,2,1,1,6000257.0,1.84,0.0,2022-05,2027-03,58.0,2024-03
615186,N06000206,2025-04,3,0,0,6000206.0,6000206.0,0.0,2026-03,2026-03,0.0,2024-03
